	cuizhaoyan	T386615	T4511947	T4546812	T4708931	T4771295	T4885622	T4978370	T5309201	T5356332	T5383979	T5392952	T5402558	T5404288	T5406460	T5407014	T5407024	T5411329	T5411337	T5412670	T5413224	T5414072	T5415755	T5415787	T5416619	T5418386	T5424389	T5425858	T5426822	T5427019	T5430860	T5433863	T5434631	T5436097	T5444043	T5445007	T5445301	T5450212	T5450491	T5453600	T5455039	T5462005	T5468269	T5468282	T5471149	T5513320	T5558516	T5558703	T5559825	T5564869	T5581107	T5581599	T5584547
4ff5e810eb67e9d8d39425e96f6290d8	0	0.003530255	0.001377226	0.002726832	0	0	0.000311804	0.000386242	0	0.000249921	0.003722006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197429175	0.00248791	0	0	0.000475436	0	0	0	0	0.094094703	0	0	0	0	0	0.000729217	0	0	0	0	0	0	0
f48d93e532203853d0a87d20c96ea9f2	0	0	0.015818971	0.008624869	0.012207817	0	0.015924276	0.000203285	0	0.016944634	0	0.00122483	0.001300702	0.000105843	0	0.006080731	0.001844012	0.004353234	0.004863903	0	0.006425648	0.032397567	0.007127518	0	0.001297204	0.02795402	0.00488786	0	0.013999293	0.00310931	0	0.045808649	0.012651419	5.76E-05	0.004983272	0	0.000125463	0.050757638	0	0	0.002693157	0	0.000352269	0	0.000769384	0.002406417	0	0	0.001687278	0	0	0.004280005	0.02560688
f67f25b2ae236b19b5b50fdcf55e033e	0	0	0.065762543	0	0.181830226	0	0	0	0	0	0	0	0	0.000158764	0	0	0.000207776	0	0.030376448	0	0	0.042170588	0	0	0.000720669	0	0	0	0	0.008015109	0	0.000684175	0	0	0	0	0	0	0	0	0	0.00022022	0	0	7.45E-05	0	0.000174585	0	0	0	0	0	0
e3227ca762174d3479c4eb047361908b	0.000468871	0	0	0.000343379	0	0	0	0	0	0.002799114	0.006455683	0	0.000360195	0	0	0	0	0.128689884	0	0	0.000457341	0.000659679	0	0	0	0	0	0	0	0	0	0	0.000318776	0	0	0	0	0.000186305	0	0	0	0	0.182438446	0.000960314	0.000148913	0	0.00034917	0.000281959	0	0	0	0	0.000388403
8890dfe2c14064c64225dd183ee2bb97	0.000387328	0.073289573	0.00030605	0	0.010599035	0.010465782	0.004498886	0.015307367	0	0	0.000651877	0	0.000840454	0	0.001015992	0.000290547	0.001220684	0	0.000862654	0.00266933	0.001189088	0	0	0.06708367	0	0	0.001449056	0.001194868	0	0.000575798	0.000287526	0	0.000996175	0.000244615	0	0	0.000266608	0.00041401	0.000775269	0.000314558	0.006754967	0.002134436	0.000815782	0.000195982	0	0	0.000174585	0	0.007201794	0.073909314	0.01593292	0.000515663	0.00080455
e479ad5c1bcc210b7f6ffdc38aa8270b	0.000876585	0	0	0	0	0.030552452	0.001447661	0.023560742	0.105457375	0	0	0	0	0	0	0	0.002103732	0	0.00055063	0	0	0	0.000740521	0.000913659	0.001081003	0	0	0	0	0	0.000608879	0	0.000876634	0	0.000633914	0	0.000501851	0.025710027	0.113310398	0	0	0.001778696	0	0	0	0	0.000436462	0	0.032984218	0.008518023	0	0	0.001692329
046620e2f51761418120e5b6385e951c	0	0.125838895	0.000573844	0	0.062136841	0	0.000489978	0	0	0	0	0	0	0.001393593	0.005709873	0.001348968	0.002259564	0.034639303	0	0	0	0	0.001592121	0	0.001441338	0	0.012349417	0.000298717	0.001435259	0.001289788	0.002587738	0	0.005239879	0	0.001954569	0	0	0	0.000581452	0	0.009889625	0.000846998	0	0	0	0.003135634	0	0.00383898	0	0	0.00077829	0	0
605a794d41bd1fd5cd7429a704e45e84	0	0	0.014212208	0.006604993	0.008630643	0.000136273	0.011870824	0	0	0.014162182	0	0	0.0014808	0	0	0.00483553	0	0.002798507	0.004258209	0	0.005533832	0.025483154	0.00555391	0	0	0.020732253	0.003957869	0	0.011261261	0.003201437	6.77E-05	0.036230194	0.009204654	0	0.003715443	0.001020273	0	0.039827772	0	0	0.002671082	0.00010164	0	0	0	0.001944579	0.0002837	0	0	0	0	0.00252675	0.018726592
eda6cda7d57ec4e2532d586f0e85b903	0	0	0	0	0.000227122	0	0	0.00040657	0	0.002365917	0.005151929	0	0	0	0	0	0	0.099502488	0	0	0	0	0	0	0	0	0	0	0	0.000299415	0	0	0	0	0	0	0	0	0	0.000188735	0.000242826	0.00013552	0.142613468	0.001117099	0	0	0	0	0	0	0	0	0
3e51fad781945f804ab756dbdc06a513	0.001100828	0	0.000325178	0	0	0.001090186	0	0	0	0	0	0	0	0	0.24141995	0.011704887	0	0	0.001009489	0	0	0	0.001147808	0	0.002546363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188735	0	0	0	0	0.000719746	0	0.001353032	0	0	0	0.000866398	0.00146964	0
3684faa57471ba6709b1b0c325ffbe92	0	9.19E-05	0	0.004766906	0	0.000136273	0	0	0	0	0	0.081304199	0	0	0	0	0	0.000787728	0	8.61E-05	0.003704466	0.003713748	0.036433649	0	0	0.00061581	0.001189524	0	0	0.005804044	0	0.000777472	0.111511795	0	0.005370664	0.000245621	0	0	9.69E-05	0	0	0	0.000129783	0	0.000148913	0	0.01414137	0	0	0	0	0	0
b689acec41a43713a6e0269f45264d3e	0	0	0.05099562	0	0.137957793	0	0	0.000467556	0	0	0	0	0	0	0	0	0	0.000207297	0.023144834	0	0	0.032275404	0	0	0	0	0	0	0	0.005504629	0	0.00055978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176217	0	0
44c2f287163527ee335438e06a5f32a1	0	0	0	0	0	0	0.027884187	0.000182957	0	0	0	0	0	0	0	0	0	0.000331675	0	0	0.000594544	0	0.000240669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001766	0.00010164	0	0.220617344	0	0	0	0	0	0	0	0	0
e43c876790c0e03270744dcf28673ecd	0.000326171	0.05815728	0	0	0.008384594	0.007549535	0.003474388	0.011831192	0.00060247	0	0	0	0	0	0	0	0	0.000725539	0	0	0	0.000732977	0.000407287	0.051041923	0.000456424	0.000709114	0.000865108	0.0007916	0.000419537	0.000322447	0	0	0.000697322	0	0	0	0	0	0	0	0.004790287	0.001710936	0	0.00033317	0.001092028	0	0	0	0.005576246	0.05737198	0.012423272	0	0
